"","year","week","predict","p.1","p0","p1"
"1",2013,1,"0",0.011470372290561,0.961927837499172,0.0266017902102673
"2",2014,1,"1",0.00558578898130182,0.0102175798079072,0.984196631210791
"3",2015,1,"0",0.0040717771956296,0.980602732699334,0.015325490105036
"4",2016,1,"0",0.0404214476558148,0.958667921159049,0.000910631185136383
"5",2017,1,"0",0.00875666754535108,0.987850876778798,0.0033924556758515
"6",2013,2,"0",0.00130576780479325,0.972823982001824,0.0258702501933834
"7",2014,2,"1",0.00105043363032848,0.00626719786819285,0.992682368501479
"8",2015,2,"0",0.00124378049914368,0.99604895068836,0.0027072688124959
"9",2016,2,"-1",0.989408745055033,0.00980989148473847,0.000781363460228949
"10",2017,2,"0",0.0456805267290421,0.634201870374042,0.320117602896915
"11",2013,3,"0",0.000908485375608177,0.998125100612583,0.00096641401180926
"12",2014,3,"1",0.000271772563981276,0.00243675531393275,0.997291472122086
"13",2015,3,"-1",0.976207447267103,0.0212595222053114,0.00253303052758592
"14",2016,3,"-1",0.995505667894859,0.00313839116943681,0.00135594093570419
"15",2017,3,"-1",0.80688762566464,0.189496858477135,0.00361551585822419
"16",2013,4,"0",0.000142476481210418,0.992311511091366,0.00754601242742357
"17",2014,4,"1",0.000355062760842373,0.00222297977140628,0.997421957467751
"18",2015,4,"0",0.0673862561394887,0.907902173921631,0.0247115699388801
"19",2016,4,"-1",0.966266761266593,0.033348488516236,0.000384750217170733
"20",2017,4,"0",0.0171841681433676,0.692302273974067,0.290513557882565
"21",2013,5,"0",0.0130693709859667,0.82106089876252,0.165869730251513
"22",2014,5,"1",0.005484714865856,0.166999250102781,0.827516035031363
"23",2015,5,"0",0.378682541222761,0.54819423568449,0.0731232230927488
"24",2016,5,"-1",0.983247153714654,0.0165230541688995,0.000229792116446831
"25",2017,5,"1",0.0157979643839201,0.0109734473887823,0.973228588227298
"26",2013,6,"0",0.00174895735513807,0.987610181083024,0.0106408615618376
"27",2014,6,"0",0.0053438549526577,0.903479031499195,0.0911771135481477
"28",2015,6,"0",0.0166694290987559,0.980014831948902,0.00331573895234216
"29",2016,6,"-1",0.988426350612758,0.0110393579720876,0.000534291415154045
"30",2017,6,"-1",0.958920829574183,0.0376005246166407,0.00347864580917648
"31",2013,7,"0",0.000351058339564759,0.997304723144763,0.00234421851567268
"32",2014,7,"1",0.0198111714666672,0.453904090454125,0.526284738079208
"33",2015,7,"-1",0.978989105598792,0.019636026656171,0.00137486774503711
"34",2016,7,"-1",0.994360170194302,0.00526181713752498,0.000378012668173018
"35",2017,7,"-1",0.50373600803828,0.490066139943632,0.00619785201808782
"36",2013,8,"0",0.00138471589064351,0.99333784127967,0.00527744282968688
"37",2014,8,"1",0.000499922561564125,0.00598368847043719,0.993516388967999
"38",2015,8,"0",0.116208607494843,0.871757107320419,0.0120342851847371
"39",2016,8,"0",0.328723740098878,0.646459665544231,0.0248165943568915
"40",2017,8,"1",0.00452397270504651,0.0158552370999869,0.979620790194967
"41",2013,9,"1",0.0316964764883448,0.0978890218976159,0.870414501614039
"42",2014,9,"1",0.00160564948740284,0.00809935580099893,0.990294994711598
"43",2015,9,"0",0.0122699752593086,0.986966190988528,0.000763833752163519
"44",2016,9,"-1",0.990581030737586,0.00898208640664937,0.000436882855764141
"45",2017,9,"1",0.00312357104934339,0.0261646554786556,0.970711773472001
"46",2013,10,"0",0.00132778160882192,0.991260223231114,0.00741199516006378
"47",2014,10,"1",0.000769611783214797,0.0066979478366011,0.992532440380184
"48",2015,10,"-1",0.767171087109835,0.225161850659847,0.00766706223031778
"49",2016,10,"-1",0.992091596694781,0.0060755072891781,0.00183289601604046
"50",2017,10,"0",0.00881996577269457,0.98271477822648,0.00846525600082505
"51",2013,11,"0",0.000442412574450955,0.978653842197721,0.0209037452278284
"52",2014,11,"1",0.0205218202651266,0.203884010327468,0.775594169407405
"53",2015,11,"0",0.031787582064345,0.967586087848722,0.000626330086932646
"54",2016,11,"-1",0.978896639157871,0.0161857957399936,0.00491756510213527
"55",2017,11,"0",0.00832005142813363,0.990418707792169,0.00126124077969745
"56",2013,12,"1",0.0014885181888028,0.395455147970451,0.603056333840746
"57",2014,12,"1",0.00870486920050416,0.202504831303714,0.788790299495782
"58",2015,12,"0",0.00747571617948659,0.9909365437959,0.00158774002461333
"59",2016,12,"-1",0.977925808737158,0.0210759276673142,0.000998263595527701
"60",2017,12,"0",0.00251129927422856,0.990286520971639,0.00720217975413263
"61",2013,13,"0",0.00464255184161924,0.527852099939658,0.467505348218723
"62",2014,13,"1",0.0024299120663305,0.0213611605114122,0.976208927422257
"63",2015,13,"0",0.0133370670244086,0.985889689416772,0.000773243558819254
"64",2016,13,"-1",0.979605131989873,0.0171241460579187,0.00327072195220856
"65",2017,13,"0",0.0476709774411236,0.911324764284909,0.0410042582739673
"66",2013,14,"0",0.000511156645396863,0.994132860024051,0.0053559833305519
"67",2014,14,"1",0.00143413899981043,0.0294709953511574,0.969094865649032
"68",2015,14,"-1",0.981701210331656,0.0177498754725899,0.000548914195753844
"69",2016,14,"-1",0.980633635481553,0.01887779256396,0.000488571954487558
"70",2017,14,"0",0.00439008754984059,0.994934413830474,0.000675498619685838
"71",2013,15,"0",0.00133095242403471,0.993285393682226,0.00538365389373899
"72",2014,15,"1",0.000304215933982075,0.00282040424084746,0.99687537982517
"73",2015,15,"0",0.0246431498129284,0.974605616869237,0.000751233317834481
"74",2016,15,"-1",0.983406143749552,0.0159581661328682,0.00063569011758005
"75",2017,15,"0",0.00569207203146439,0.962534797109747,0.0317731308587888
"76",2013,16,"0",0.00415361219826024,0.986857532206702,0.00898885559503726
"77",2014,16,"1",0.000303976105432737,0.00715578115610859,0.992540242738459
"78",2015,16,"0",0.0147414998891983,0.981472796775699,0.00378570333510307
"79",2016,16,"-1",0.986799944166347,0.0126418244337675,0.000558231399885703
"80",2017,16,"0",0.00380138789115678,0.99075348985702,0.00544512225182361
"81",2013,17,"0",0.00510519908533778,0.983511680776262,0.0113831201384004
"82",2014,17,"1",0.000593471354271314,0.0121260415290148,0.987280487116714
"83",2015,17,"0",0.0116585322270352,0.987588044748314,0.000753423024650967
"84",2016,17,"-1",0.734295676831147,0.249568149946001,0.0161361732228519
"85",2017,17,"0",0.00778674749017326,0.988188326456144,0.00402492605368284
"86",2013,18,"0",0.00417573651870554,0.978527108879405,0.0172971546018896
"87",2014,18,"1",0.000535754366681173,0.011975935190693,0.987488310442626
"88",2015,18,"-1",0.996500585202762,0.00292988566749029,0.000569529129747467
"89",2016,18,"-1",0.969174741118747,0.021087593051914,0.00973766582933918
"90",2017,18,"0",0.00384324197349701,0.995628848227571,0.000527909798932038
"91",2013,19,"1",0.0520343681141266,0.181265424571587,0.766700207314287
"92",2014,19,"1",0.0011672496899994,0.0123294402351359,0.986503310074865
"93",2015,19,"-1",0.990126830410446,0.00947636958106026,0.000396800008493996
"94",2016,19,"-1",0.993570206338389,0.00580971096148131,0.000620082700129507
"95",2017,19,"0",0.00187729655799094,0.997409215140184,0.000713488301824741
"96",2013,20,"1",0.000428455736653418,0.0100191277147444,0.989552416548602
"97",2014,20,"0",0.00227323892467578,0.969334667462066,0.0283920936132582
"98",2015,20,"0",0.0497713601945995,0.949261487442835,0.000967152362565544
"99",2016,20,"0",0.0375045717443376,0.961443986666088,0.00105144158957429
"100",2017,20,"0",0.00328989366155824,0.995971114628322,0.00073899171011976
"101",2013,21,"1",0.000513417459263883,0.0103191222383059,0.98916746030243
"102",2014,21,"0",0.00225257494763688,0.972379599272831,0.0253678257795324
"103",2015,21,"-1",0.994273238914008,0.00558201567097682,0.000144745415014977
"104",2016,21,"-1",0.98024751661893,0.0179886454464568,0.00176383793461355
"105",2017,21,"0",0.00406130318056803,0.995429469364912,0.000509227454519996
"106",2013,22,"1",0.000396581194789893,0.00490995577621153,0.994693463028999
"107",2014,22,"1",0.00191357342091612,0.019804868016147,0.978281558562937
"108",2015,22,"0",0.101551282956289,0.894386316623213,0.00406240042049808
"109",2016,22,"-1",0.981647685227743,0.0167769907171836,0.00157532405507288
"110",2017,22,"0",0.00284194435827748,0.995017239186352,0.00214081645537078
"111",2013,23,"0",0.0206515613464013,0.523683613536172,0.455664825117427
"112",2014,23,"1",0.000965203428610734,0.00387196478166523,0.995162831789724
"113",2015,23,"-1",0.980869426094259,0.0186096342125423,0.000520939693198429
"114",2016,23,"-1",0.9851798498284,0.00857511651664055,0.00624503365495958
"115",2017,23,"0",0.0142248636148097,0.870977990551177,0.114797145834013
"116",2013,24,"1",0.000358134987713201,0.00326597008399483,0.996375894928292
"117",2014,24,"1",0.00160217448577031,0.0132141492298942,0.985183676284335
"118",2015,24,"-1",0.985088748126119,0.0131072038314226,0.00180404804245817
"119",2016,24,"-1",0.988350265485107,0.0102888348342374,0.00136089968065586
"120",2017,24,"0",0.0230225497478365,0.952956526557722,0.0240209236944421
"121",2013,25,"0",0.000648173287584136,0.972727214962797,0.026624611749619
"122",2014,25,"1",0.000913390397491622,0.0255499036429214,0.973536705959587
"123",2015,25,"-1",0.998528079888274,0.00123867746093359,0.000233242650792768
"124",2016,25,"-1",0.979255376999722,0.0156455750639439,0.00509904793633452
"125",2017,25,"0",0.0105912356929548,0.987836058252692,0.00157270605435354
"126",2013,26,"1",0.000612182682410381,0.0205589920676785,0.978828825249911
"127",2014,26,"1",0.000265751173763684,0.0106312057644927,0.989103043061744
"128",2015,26,"-1",0.987460986338733,0.0113437530900038,0.00119526057126311
"129",2016,26,"-1",0.985132495192562,0.0143761481689955,0.000491356638442779
"130",2017,26,"1",0.0036446056404161,0.0186039027141888,0.977751491645395
"131",2013,27,"0",0.000913072296877471,0.982854591886852,0.0162323358162701
"132",2014,27,"0",0.00438369886604984,0.717842552910441,0.277773748223509
"133",2015,27,"-1",0.990900572304338,0.00545980561139164,0.00363962208427055
"134",2016,27,"-1",0.985492702616438,0.0127458718522154,0.00176142553134702
"135",2017,27,"0",0.00375770078522205,0.990367259840663,0.00587503937411496
"136",2013,28,"1",0.00172176936967451,0.105127837572118,0.893150393058207
"137",2014,28,"0",0.00301731510823138,0.989574889603138,0.00740779528863093
"138",2015,28,"-1",0.995123267206881,0.00473853401949293,0.000138198773625635
"139",2016,28,"0",0.0147833887627289,0.969905060852832,0.0153115503844389
"140",2017,28,"0",0.000574064726726361,0.994642211042764,0.00478372423050941
"141",2013,29,"1",0.000353805682080885,0.0210734925060851,0.978572701811834
"142",2014,29,"0",0.00233629223398015,0.990735828438475,0.00692787932754462
"143",2015,29,"-1",0.998073135929157,0.00178138415770793,0.000145479913134647
"144",2016,29,"0",0.0333246729890139,0.965604788526674,0.00107053848431262
"145",2017,29,"0",0.0112584437933617,0.979820054850994,0.00892150135564426
"146",2013,30,"1",0.000526081673082928,0.00170250808338817,0.997771410243529
"147",2014,30,"0",0.00345992760589991,0.987408460046442,0.00913161234765781
"148",2015,30,"-1",0.99388304391964,0.00562349838303803,0.000493457697322174
"149",2016,30,"0",0.0218936481283681,0.976221313125744,0.00188503874588741
"150",2017,30,"0",0.00278966429442014,0.996450656829316,0.00075967887626368
"151",2013,31,"1",0.000870617651615755,0.241845667925336,0.757283714423049
"152",2014,31,"0",0.000903196867910133,0.995883124056639,0.00321367907545048
"153",2015,31,"-1",0.994597862349335,0.00364173888858563,0.00176039876207965
"154",2016,31,"0",0.00327704142793894,0.994650837373319,0.00207212119874198
"155",2017,31,"0",0.000769223377105877,0.996550211922949,0.00268056469994553
"156",2013,32,"1",0.000446374145104699,0.00644605665347661,0.993107569201419
"157",2014,32,"0",0.0130606221706147,0.96693893975392,0.0200004380754652
"158",2015,32,"-1",0.994412147280062,0.00503876810999109,0.000549084609946788
"159",2016,32,"0",0.00426307218941534,0.994749346576376,0.000987581234208981
"160",2017,32,"0",0.00374319838116058,0.985682434874289,0.0105743667445502
"161",2013,33,"1",0.0011270220210048,0.162621423543793,0.836251554435202
"162",2014,33,"0",0.00462004710359641,0.98096950259936,0.0144104502970433
"163",2015,33,"-1",0.991241971368871,0.00817985340335991,0.00057817522776904
"164",2016,33,"0",0.0039718147505617,0.995669059479764,0.000359125769674423
"165",2017,33,"0",0.0147097656952033,0.984134941359951,0.00115529294484589
"166",2013,34,"1",0.000375321411538391,0.222351988608649,0.777272689979812
