Date,XRT US,XLK US,XLE US,XLF US,XLU US,XLV US,XLP US,XLY US,XLI US
2/1/2008,16.575,26.12,79.5,23.03,42.09,34.94,28.39,32.2,38.51
3/1/2008,16.195,26.16,80.44,22.88,42.03,35.15,28.24,31.84,38.54
4/1/2008,15.405,25.14,77.5,22.23,42.35,34.79,28.12,30.84,37.75
7/1/2008,15.51,24.92,77.2,22.29,43.23,35.48,28.45,30.95,37.28
8/1/2008,15.18,24.26,75.85,21.48,43.24,35.77,28.24,30.35,36.45
9/1/2008,15.34,24.6,76.85,21.88,43.71,36.41,28.62,30.57,36.56
10/1/2008,15.465,24.64,76.53,22.26,43.44,36.36,28.67,31,37.07
11/1/2008,14.935,24.28,75.6,22.33,43.43,36.47,28.27,30.26,36.44
14/1/2008,14.905,24.77,77.1,22.64,43.49,36.19,28.15,30.55,36.89
15/1/2008,14.55,24.25,73.91,21.71,43.03,35.78,27.85,29.99,36.12
16/1/2008,14.935,23.72,71.45,22.07,42.26,35.87,27.75,30.16,35.7
17/1/2008,14.845,23.51,68.75,20.95,40.63,35.18,27.55,29.66,34.75
18/1/2008,14.805,23.1,68.9,20.71,40.03,34.67,27.15,29.52,34.68
21/1/2008,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
22/1/2008,15.36,22.67,66.95,21.15,38.65,33.41,26.87,30.1,34.8
23/1/2008,16.465,22.87,67.57,22.66,39.68,33.65,27.2,31.2,35.75
24/1/2008,16.1,23.2,69.95,22.66,38.6,33.52,27.07,31.51,35.96
25/1/2008,15.53,22.84,68.7,22.07,38.18,32.99,26.7,30.86,35.8
28/1/2008,16.275,22.94,70.26,22.86,38.78,33.41,26.91,31.37,36.33
29/1/2008,16.6,23.14,71.05,23.21,38.91,33.5,26.99,31.47,36.65
30/1/2008,16.27,22.96,70.16,22.74,38.71,33.11,26.8,31.27,36.8
31/1/2008,17,23.25,69.6,23.66,39.22,33.7,27.2,32.58,37
1/2/2008,17.368,23.65,71.35,24.1,40.24,33.86,27.47,32.87,37.85
4/2/2008,16.69,23.16,71.4,23.4,40.82,33.98,27.3,32.4,37.44
5/2/2008,16.27,22.58,68.45,22.45,39.59,33.36,26.93,31.49,36.49
6/2/2008,16,22.33,67.51,22.19,39.52,33.45,26.82,31.15,36.43
